priority_tier,total_score,volume_score,pipeline_need_score,ci_need_score,technology_gap_score,market_access_score,epm,plant_name,owner,city,state,status,capacity_mgy,capacity_mgy_used_for_scoring,estimated_fermentation_co2_mt_per_year,latest_available_ci_scores,pipeline_ccs_status,ccs_committed_flag,technology_flags,nearest_market,nearest_market_miles,market_access_note,rationale,tier_reason
High,75.0,12,25,10.0,16,12,3719,United Energy Milton,United Cooperative,Milton,WI,Active,61.0,61.0,176900,,No clear public pipeline/CCS access in available data,False,White Fox,Chicago industrial corridor,89.7,near major urban/industrial market,"61.0 MGY implies roughly 176,900 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position is unclear in available LCFS data. Technology screen: White Fox. Nearest listed market is Chicago industrial corridor at about 90 miles (near major urban/industrial market).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,73.0,12,25,10.0,20,6,3604,Hub City Energy LLC,Glacial Lakes Cooperative,Aberdeen,SD,Active,70.0,70.0,203000,WA min 32.36,No clear public pipeline/CCS access in available data,False,limited public low-carbon tech flags,Sioux City,230.7,moderate market access,"70.0 MGY implies roughly 203,000 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is Sioux City at about 231 miles (moderate market access).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,72.5,16,25,7.5,9,15,3686,Poet Biorefinning-Menlo,POET Biorefining,Menlo,IA,Active,132.0,132.0,382800,CA/latest 66.31; corn 66.31; fiber 26.60,No clear public pipeline/CCS access in available data,False,"fiber/D3, waste heat, corn oil",Des Moines / Ames,39.4,very near major urban/industrial market,"132.0 MGY implies roughly 382,800 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 7.5/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, waste heat, corn oil. Nearest listed market is Des Moines / Ames at about 39 miles (very near major urban/industrial market).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,72.3,16,25,13.3,6,12,3692,Poet Biorefinning-Shell Rock LLC,POET Biorefining,Shell Rock,IA,Active,128.0,128.0,371200,CA/latest 69.03; corn 69.03; fiber 28.31,No clear public pipeline/CCS access in available data,False,"fiber/D3, waste heat, high protein, corn oil",Cedar Rapids / Iowa City,71.5,near major urban/industrial market,"128.0 MGY implies roughly 371,200 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 13.3/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, waste heat, high protein, corn oil. Nearest listed market is Cedar Rapids / Iowa City at about 71 miles (near major urban/industrial market).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,72.0,12,25,10.0,16,9,3720,United Wisconsin Grain Producers LLC,United WI Grain Producers,Friesland,WI,Active,71.0,71.0,205900,,No clear public pipeline/CCS access in available data,False,"high protein, corn oil",Chicago industrial corridor,137.7,reasonable regional market access,"71.0 MGY implies roughly 205,900 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position is unclear in available LCFS data. Technology screen: high protein, corn oil. Nearest listed market is Chicago industrial corridor at about 138 miles (reasonable regional market access).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,72.0,12,25,10.0,19,6,3735,Western New York Energy LLC,Western New York Energy,Medina,NY,Active,62.0,62.0,179800,,No clear public pipeline/CCS access in available data,False,corn oil,Detroit / Toledo,245.0,moderate market access,"62.0 MGY implies roughly 179,800 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position is unclear in available LCFS data. Technology screen: corn oil. Nearest listed market is Detroit / Toledo at about 245 miles (moderate market access).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,72.0,8,25,10.0,20,9,3596,Didion Ethanol LLC,Didion Milling,Cambria,WI,Active,54.0,54.0,156600,,No clear public pipeline/CCS access in available data,False,limited public low-carbon tech flags,Chicago industrial corridor,136.9,reasonable regional market access,"54.0 MGY implies roughly 156,600 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is Chicago industrial corridor at about 137 miles (reasonable regional market access).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,71.1,16,25,6.1,9,15,3671,Poet Biorefinning-Fairbank,POET Biorefining,Fairbank,IA,Active,132.0,132.0,382800,CA/latest 65.36; corn 65.36; fiber 25.94,No clear public pipeline/CCS access in available data,False,"fiber/D3, waste heat, corn oil",Cedar Rapids / Iowa City,49.4,very near major urban/industrial market,"132.0 MGY implies roughly 382,800 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 6.1/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, waste heat, corn oil. Nearest listed market is Cedar Rapids / Iowa City at about 49 miles (very near major urban/industrial market).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,70.5,16,25,8.5,9,12,3662,Poet Biorefinning-Arthur LLC,POET Biorefining,Arthur,IA,Active,132.0,132.0,382800,CA/latest 66.66; corn 66.66; fiber 26.89,No clear public pipeline/CCS access in available data,False,"fiber/D3, waste heat, corn oil",Sioux City,55.2,near major urban/industrial market,"132.0 MGY implies roughly 382,800 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 8.5/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, waste heat, corn oil. Nearest listed market is Sioux City at about 55 miles (near major urban/industrial market).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,70.1,12,25,9.1,9,15,3678,Poet Biorefining- Hudson,POET Biorefining,Hudson,SD,Active,80.0,80.0,232000,CA/latest 66.79; corn 66.79; fiber 26.85; WA min 25.93,No clear public pipeline/CCS access in available data,False,"fiber/D3, CHP",Sioux City,41.7,very near major urban/industrial market,"80.0 MGY implies roughly 232,000 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 9.1/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, CHP. Nearest listed market is Sioux City at about 42 miles (very near major urban/industrial market).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,69.7,12,25,8.7,12,12,3754,Poet Biorefinning-Emmetsburg LLC,POET Biorefining,Emmetsburg,IA,Active,68.0,68.0,197200,CA/latest 66.77; corn 66.77; fiber 27.51,No clear public pipeline/CCS access in available data,False,"fiber/D3, corn oil",Sioux City,98.1,near major urban/industrial market,"68.0 MGY implies roughly 197,200 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 8.7/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, corn oil. Nearest listed market is Sioux City at about 98 miles (near major urban/industrial market).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,69.0,12,25,10.0,16,6,3601,Fox River Valley Ethanol LLC,ACE Ethanol,Oshkosh,WI,Active,64.0,64.0,185600,,No clear public pipeline/CCS access in available data,False,White Fox,Chicago industrial corridor,154.2,moderate market access,"64.0 MGY implies roughly 185,600 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position is unclear in available LCFS data. Technology screen: White Fox. Nearest listed market is Chicago industrial corridor at about 154 miles (moderate market access).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,69.0,8,25,10.0,20,6,3698,Red River Energy LLC,Red River Energy,Rosholt,SD,Active,36.0,36.0,104400,,No clear public pipeline/CCS access in available data,False,limited public low-carbon tech flags,Minneapolis / St. Paul,178.8,moderate market access,"36.0 MGY implies roughly 104,400 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is Minneapolis / St. Paul at about 179 miles (moderate market access).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,68.7,12,25,12.7,13,6,3676,Poet Biorefining- Groton LLC,POET Biorefining,Groton,SD,Active,68.0,68.0,197200,CA/latest 68.73; corn 68.73; fiber 28.95; WA min 23.77,No clear public pipeline/CCS access in available data,False,fiber/D3,Sioux City,221.8,moderate market access,"68.0 MGY implies roughly 197,200 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 12.7/20 based on available corn/latest CI percentile. Technology screen: fiber/D3. Nearest listed market is Sioux City at about 222 miles (moderate market access).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,68.5,16,25,6.5,9,12,3679,Poet Biorefinning-Iowa Falls LLC,POET Biorefining,Iowa Falls,IA,Active,112.0,112.0,324800,CA/latest 65.49; corn 65.49; fiber 25.25,No clear public pipeline/CCS access in available data,False,"fiber/D3, waste heat, corn oil",Des Moines / Ames,66.0,near major urban/industrial market,"112.0 MGY implies roughly 324,800 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 6.5/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, waste heat, corn oil. Nearest listed market is Des Moines / Ames at about 66 miles (near major urban/industrial market).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,68.3,12,25,7.3,12,12,3669,Poet Biorefinning-Coon Rapids,POET Biorefining,Coon Rapids,IA,Active,65.0,65.0,188500,CA/latest 66.28; corn 66.28; fiber 26.63; WA min 26.31,No clear public pipeline/CCS access in available data,False,"fiber/D3, corn oil",Des Moines / Ames,55.4,near major urban/industrial market,"65.0 MGY implies roughly 188,500 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 7.3/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, corn oil. Nearest listed market is Des Moines / Ames at about 55 miles (near major urban/industrial market).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,68.1,16,25,12.1,9,6,3664,Poet Biorefining- Big Stone LLC,POET Biorefining,Big Stone City,SD,Active,105.0,105.0,304500,CA/latest 67.98; corn 67.98; fiber 28.31; WA min 27.61,No clear public pipeline/CCS access in available data,False,"fiber/D3, CHP",Minneapolis / St. Paul,159.8,moderate market access,"105.0 MGY implies roughly 304,500 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 12.1/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, CHP. Nearest listed market is Minneapolis / St. Paul at about 160 miles (moderate market access).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,67.5,12,25,10.5,8,12,3680,Poet Biorefinning-Jewell LLC,POET Biorefining,Jewell,IA,Active,90.0,90.0,261000,CA/latest 67.19; corn 67.19; fiber 27.18; WA min 25.98,No clear public pipeline/CCS access in available data,False,"fiber/D3, CHP, corn oil",Des Moines / Ames,51.3,near major urban/industrial market,"90.0 MGY implies roughly 261,000 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 10.5/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, CHP, corn oil. Nearest listed market is Des Moines / Ames at about 51 miles (near major urban/industrial market).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,67.0,8,25,10.0,15,9,3547,Ace Ethanol LLC,ACE Ethanol,Stanley,WI,Active,52.0,52.0,150800,,No clear public pipeline/CCS access in available data,False,"White Fox, corn oil",Minneapolis / St. Paul,112.6,reasonable regional market access,"52.0 MGY implies roughly 150,800 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position is unclear in available LCFS data. Technology screen: White Fox, corn oil. Nearest listed market is Minneapolis / St. Paul at about 113 miles (reasonable regional market access).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,66.9,12,25,10.9,13,6,3605,Huron Energy LLC,Glacial Lakes Cooperative,Huron,SD,Active,60.0,60.0,174000,CA/latest 67.45; corn 67.45; fiber 29.31,No clear public pipeline/CCS access in available data,False,fiber/D3,Sioux City,159.5,moderate market access,"60.0 MGY implies roughly 174,000 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 10.9/20 based on available corn/latest CI percentile. Technology screen: fiber/D3. Nearest listed market is Sioux City at about 159 miles (moderate market access).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,66.5,8,25,11.5,13,9,3690,Poet Biorefining--Preston LLC,POET Biorefining,Preston,MN,Active,55.0,55.0,159500,CA/latest 67.61; corn 67.61; fiber 27.92,No clear public pipeline/CCS access in available data,False,fiber/D3,Minneapolis / St. Paul,106.4,reasonable regional market access,"55.0 MGY implies roughly 159,500 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 11.5/20 based on available corn/latest CI percentile. Technology screen: fiber/D3. Nearest listed market is Minneapolis / St. Paul at about 106 miles (reasonable regional market access).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,66.1,12,25,7.1,13,9,3687,Poet Biorefining- Mitchell LLC,POET Biorefining,Mitchell,SD,Active,86.0,86.0,249400,CA/latest 66.07; corn 66.07; fiber 26.48; WA min 25.32,No clear public pipeline/CCS access in available data,False,fiber/D3,Sioux City,124.5,reasonable regional market access,"86.0 MGY implies roughly 249,400 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 7.1/20 based on available corn/latest CI percentile. Technology screen: fiber/D3. Nearest listed market is Sioux City at about 124 miles (reasonable regional market access).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,65.8,12,25,0.8,13,15,3705,Siouxland Energy Cooperative,Sioux Center,Sioux Center,IA,Active,65.0,65.0,188500,CA/latest 61.09; corn 61.09; fiber 22.23; WA min 21.50,No clear public pipeline/CCS access in available data,False,fiber/D3,Sioux City,41.6,very near major urban/industrial market,"65.0 MGY implies roughly 188,500 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 0.8/20 based on available corn/latest CI percentile. Technology screen: fiber/D3. Nearest listed market is Sioux City at about 42 miles (very near major urban/industrial market).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,65.1,12,25,8.1,8,12,3670,Poet Biorefinning-Corning LLC,POET Biorefining,Corning,IA,Active,90.0,90.0,261000,CA/latest 66.57; corn 66.57; fiber 26.96; WA min 25.64,No clear public pipeline/CCS access in available data,False,"fiber/D3, CHP, corn oil",Omaha / Council Bluffs,62.6,near major urban/industrial market,"90.0 MGY implies roughly 261,000 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 8.1/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, CHP, corn oil. Nearest listed market is Omaha / Council Bluffs at about 63 miles (near major urban/industrial market).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
Medium,77.0,20,12,10.0,20,15,3580,Cargill Inc,Cargill,Blair,NE,Active,210.0,210.0,609000,,Possible future pipeline optionality,False,limited public low-carbon tech flags,Omaha / Council Bluffs,22.5,very near major urban/industrial market,"210.0 MGY implies roughly 609,000 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is Omaha / Council Bluffs at about 22 miles (very near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,74.0,20,12,10.0,20,12,3715,The Andersons Marathon Holdings LLC,The Andersons,Greenville,OH,Active,154.0,154.0,446600,,Possible future pipeline optionality,False,limited public low-carbon tech flags,Cincinnati,67.7,near major urban/industrial market,"154.0 MGY implies roughly 446,600 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is Cincinnati at about 68 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,74.0,12,12,18.0,20,12,3549,Aemetis Advanced Fuels Keys Inc,Amentis,Keyes,CA,Active,70.0,70.0,203000,CA/latest 71.50; corn 71.50,Possible future pipeline optionality,False,limited public low-carbon tech flags,San Francisco Bay Area,83.6,near major urban/industrial market,"70.0 MGY implies roughly 203,000 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position score 18.0/20 based on available corn/latest CI percentile. Technology screen: limited public low-carbon tech flags. Nearest listed market is San Francisco Bay Area at about 84 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,73.7,20,12,14.7,12,15,3600,Elite Octane LLC,Elite Octane,Atlantic,IA,Active,175.0,175.0,507500,CA/latest 70.15; corn 70.15; fiber 28.35,Possible future pipeline optionality,False,"fiber/D3, corn oil",Omaha / Council Bluffs,48.1,very near major urban/industrial market,"175.0 MGY implies roughly 507,500 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position score 14.7/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, corn oil. Nearest listed market is Omaha / Council Bluffs at about 48 miles (very near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,73.0,16,12,10.0,20,15,3616,Green Plains Madison LLC,Green Plains,Madison,IL,Active,100.0,100.0,290000,,Possible future pipeline optionality,False,limited public low-carbon tech flags,St. Louis / Metro East,3.9,very near major urban/industrial market,"100.0 MGY implies roughly 290,000 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is St. Louis / Metro East at about 4 miles (very near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,72.8,20,12,15.8,13,12,3625,Guardian Energy LLC,"Guardian Energy, LLC",Janesville,MN,Active,164.0,164.0,475600,CA/latest 70.79; corn 70.79; fiber 24.50,Possible future pipeline optionality,False,fiber/D3,Minneapolis / St. Paul,63.2,near major urban/industrial market,"164.0 MGY implies roughly 475,600 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position score 15.8/20 based on available corn/latest CI percentile. Technology screen: fiber/D3. Nearest listed market is Minneapolis / St. Paul at about 63 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,70.0,16,12,10.0,20,12,3713,The Andersons Marathon Holdings LLC,The Andersons,Clymers,IN,Active,140.0,140.0,406000,,Possible future pipeline optionality,False,limited public low-carbon tech flags,Indianapolis,67.3,near major urban/industrial market,"140.0 MGY implies roughly 406,000 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is Indianapolis at about 67 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,70.0,16,12,10.0,20,12,3589,CHS - Rochelle,CHS,Rochelle,IL,Active,138.0,138.0,400200,,Possible future pipeline optionality,False,limited public low-carbon tech flags,Chicago industrial corridor,72.0,near major urban/industrial market,"138.0 MGY implies roughly 400,200 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is Chicago industrial corridor at about 72 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,70.0,16,12,10.0,20,12,3707,Southbend Ethanol LLC,Verbio,South Bend,IN,Active,100.0,100.0,290000,,Possible future pipeline optionality,False,limited public low-carbon tech flags,Chicago industrial corridor,70.4,near major urban/industrial market,"100.0 MGY implies roughly 290,000 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is Chicago industrial corridor at about 70 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,69.0,16,12,10.0,19,12,3582,Cargill Inc,Cargill,Fort Dodge,IA,Active,130.0,130.0,377000,,Possible future pipeline optionality,False,corn oil,Des Moines / Ames,72.7,near major urban/industrial market,"130.0 MGY implies roughly 377,000 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: corn oil. Nearest listed market is Des Moines / Ames at about 73 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
